Date,US dollar,Euro,Japanese yen,Pound sterling,Canadian dollar,Swiss franc,Chinese renmimbi,Turkish lira,Russian ruble,Producer index,Consumer index
1/3/2000,290.3,285.9,29443,178.8,419.2,459.1,2403.2,156.7,7938.3,104.7,108.5
1/4/2000,281.5,273.3,28990.3,172.1,408.2,438.3,2330.8,151,7741.3,101.7,105.1
1/5/2000,280.5,271.3,29128.9,171.1,407.6,435.3,2322.1,150.5,7642.3,101,104.6
1/6/2000,279.4,270,29406.8,169.6,407.2,433.5,2313.4,149.9,7670.9,100.9,104.2
1/7/2000,282.1,274.2,29747.4,172.2,411.2,440.7,2335.6,152.1,7745.1,101.8,105.3
1/10/2000,281.6,274.3,29668,172,409.8,441.4,2331.5,152.3,7927,102.2,105.2
1/11/2000,282.3,274.1,29855,171.4,411.2,441.2,2336.9,152.3,8086.9,102.8,105.4
1/12/2000,282.3,274.8,29873.3,171.5,410.9,442.3,2336.9,152.6,8114.7,102.7,105.5
1/13/2000,282.1,274.6,29956.2,171.1,409.1,442.8,2335.7,152.7,8083.6,102.4,105.4
1/14/2000,283.3,279.8,30035.4,173.2,411,451.9,2345.6,154.5,8099.5,102.8,106.1
1/17/2000,285.4,283,29901.8,174.9,414.2,456.8,2362.5,156.1,8179.6,103.7,106.9
1/18/2000,285.8,282.7,30150.5,174.5,414.2,456.5,2366.2,156.3,8181,103.9,107.1
1/19/2000,287.7,284.8,30417.5,175.4,417.4,459.7,2381.7,157.4,8213.8,104.6,107.8
1/20/2000,288.1,285.4,30381.6,174.8,416.7,460.2,2385.3,157.8,8225.3,104.6,108
1/21/2000,287.8,285.8,30177.8,174.3,415.4,460.4,2382.4,158.1,8209.5,104.7,107.9
1/24/2000,287.2,286.5,30332.6,173.8,414.1,462.3,2377.7,158.3,8185.9,104.8,107.8
1/25/2000,288,286.1,30480.5,174.6,414.5,462,2384.2,158.7,8219.5,105.1,108.1
1/26/2000,285.9,285.6,30283.9,174.3,411.2,460.5,2366.7,157.8,8178.9,104.5,107.3
1/27/2000,285.6,288.9,29981.3,174.4,409.4,466.2,2363.9,158.6,8160.3,104.4,107.4
1/28/2000,286.8,292.6,30300.9,177.1,413.4,471.9,2373.7,160.3,8211.1,105.6,108
1/31/2000,283.3,289.6,30325.8,174.8,410.5,465.7,2345.1,158.4,8112.3,104.4,106.8
2/1/2000,283,290.9,30535.7,175.2,409.6,467.9,2342.5,158.7,8083.9,104.2,106.7
2/2/2000,285.6,293.8,30963.3,178.1,413.3,473.2,2364,160.3,8201,105.2,107.7
2/3/2000,285.1,289.6,30841,177.9,410.7,465.5,2359.7,159.4,8205.9,105,107.4
2/4/2000,293.7,299.7,31517.4,184.9,424,482,2431.1,164.8,8454.2,108.4,110.7
2/7/2000,312.7,319.7,33896.7,196.7,452,513.4,2588.8,175.8,8983.1,115.3,117.9
2/8/2000,296.3,300.3,32426,183.9,428.4,483.1,2452.6,166,8515.7,109.3,111.6
2/9/2000,308.6,311.8,33691.4,191.6,445.6,501.7,2554.8,172.8,8849.1,113.8,116.2
2/10/2000,309,313.6,33531.1,192.4,447.8,503.5,2558.2,173.5,8865.2,114.2,116.4
2/11/2000,311.5,316.1,33927,195.3,452.1,507.4,2578.9,175.3,8994.6,115.4,117.4
2/14/2000,308.4,314.6,33516.1,194,448.2,505.5,2552.5,174,8858.9,114.1,116.3
2/15/2000,304.3,309.4,33078.1,190.5,443.4,496.8,2518.5,171.5,8738.1,112.5,114.7
2/16/2000,302.5,307.5,33126.8,188.8,439.4,493.2,2504,170.6,8707.5,111.9,114.1
2/17/2000,304.8,309.1,33629.2,189.7,443.2,495.8,2522.5,171.8,8779.9,112.6,114.9
2/18/2000,303.6,308.1,33631.8,190.1,440.2,494.3,2512.5,171.8,8753,112.3,114.5
2/21/2000,305.3,309.2,33989.6,191,443.8,496,2526.7,172.6,8814.1,113,115.1
2/22/2000,302.3,300.2,33442.5,187.2,441.8,482.5,2501.8,169.6,8732,111.9,113.7
2/23/2000,302,300.9,33553.7,188.2,442,484.7,2500,169.8,8702.1,111.9,113.7
2/24/2000,298.8,299.9,33171.7,186.6,435.9,482.8,2473.1,168.6,8586.1,110.9,112.6
2/25/2000,294,300.4,32619.3,184.4,426.9,483.4,2433.9,167.6,8440.7,109,111.1
2/28/2000,292.5,302.5,31879.6,184,424.5,486.1,2421.5,167.7,8381.6,108.7,110.7
2/29/2000,293.7,305,32258.9,186,426.1,489.9,2431,168.8,8427.8,109.1,111.2
3/1/2000,292.9,302.6,31492.6,184.9,424.6,486.1,2424.8,168.1,8379.9,109.1,110.8
3/2/2000,289.9,300,31222.2,183.5,421.1,482.3,2400,166.7,8283.9,107.8,109.7
3/3/2000,288.5,300,31035.4,182.4,418.8,482.2,2388.5,166.5,8256.9,107.7,109.3
3/6/2000,288.8,300.4,31070.5,183.6,420,483.1,2390.8,166.8,8252.5,108,109.4
3/7/2000,289.8,302.6,30941,183.3,421.1,486.4,2398.7,167.6,8273.1,108.3,109.8
