"Date","Close","Volume","USD_TRY","CrudeOil","BIST100"
2000-05-10,2.80621,3788027,0.6143,17.26183,17777.13
2000-05-11,2.68286,2628750,0.6169,17.957959,17896.7
2000-05-12,2.77538,1785504,0.616,18.24592,17557.46
2000-05-15,2.7137,1013321,0.6149,18.397808,17013.03
2000-05-16,2.7137,1660312,0.6181,18.376113,17492.53
2000-05-17,2.62119,3101844,0.6217,18.228244,16925.31
2000-05-18,2.55951,2819826,0.6229,18.892557,16449.27
2000-05-19,2.55951,0,0.6233,18.630437,16449.27
2000-05-22,2.467,2254503,0.62,17.7382,16241.29
2000-05-23,2.467,2254503,0.6198,17.837844,15583.92
2000-05-24,2.467,0,0.6201,18.559593,15819.8
2000-05-25,2.467,0,0.6196,18.903996,16329.19
2000-05-26,2.43616,4213095,0.617,18.51,15922.27
2000-05-29,2.43616,0,0.6159,18.477,15884.12
2000-05-30,2.43616,0,0.6145,18.650075,15769.47
2000-05-31,2.43616,0,0.6157,17.861457,16206.42
2000-06-01,2.43616,0,0.6157,18.557198,16770.16
2000-06-02,2.40533,12149446,0.6135,18.619725,16520.05
2000-06-05,2.40533,0,0.613,18.2061,16629.05
2000-06-06,2.467,4169528,0.6109,18.174275,16719.5
2000-06-07,2.467,0,0.61,18.2695,16192.37
2000-06-08,2.467,0,0.612,18.22536,16662.95
2000-06-09,2.52868,5959918,0.6133,18.52166,16461.32
2000-06-12,2.43616,2175624,0.6137,19.478838,15902.91
2000-06-13,2.31281,4624851,0.6121,19.929976,15613.66
2000-06-14,2.40533,12974506,0.6124,20.11734,15183.92
2000-06-15,2.34365,3883179,0.6146,20.25107,14966.02
2000-06-16,2.28198,1552231,0.6125,19.802125,14351.4
2000-06-19,2.28198,2388242,0.6146,19.476674,14543.9
2000-06-20,2.34365,1745911,0.6154,20.33897,14748.22
2000-06-21,2.34365,2630588,0.6189,19.414893,14659.26
2000-06-22,2.37449,2724823,0.6214,20.002866,14885.15
2000-06-23,2.31281,999030,0.6229,20.088525,14930.88
2000-06-26,2.34365,967389,0.6226,19.692838,14632.86
2000-06-27,2.25114,2078890,0.6211,19.912466,14663.49
2000-06-28,2.31281,5175165,0.6219,19.83861,14790.18
2000-06-29,2.31281,820729,0.6203,20.296216,14404.95
2000-06-30,2.25114,808642,0.6204,20.163,14466.12
2000-07-03,2.25114,952417,0.6214,20.1955,14348.44
2000-07-04,2.25114,1029468,0.6213,20.19225,14200.89
2000-07-05,2.25114,2220172,0.6208,19.039936,14638.28
2000-07-06,2.25114,1953849,0.6215,18.638785,14180.32
2000-07-07,2.2203,1935805,0.624,18.89472,14343.87
2000-07-10,2.25114,2138538,0.6222,18.473118,14868.62
2000-07-11,2.25114,3685319,0.6231,18.50607,14061.19
2000-07-12,2.12779,2563603,0.6248,18.943936,13857.72
2000-07-13,2.12779,1963743,0.6276,19.750572,13394.1
2000-07-14,2.09695,1861317,0.6283,19.72862,13521.81
2000-07-17,2.00444,2262451,0.629,19.39207,12801.78
2000-07-18,2.00444,2531186,0.6308,20.147752,12736.96
2000-07-19,2.00444,2531186,0.6331,19.892002,13238.66
2000-07-20,2.09695,2640968,0.6326,19.566318,12923.43
2000-07-21,2.06611,2019727,0.6302,17.998512,13601.46
2000-07-24,2.12779,4416857,0.6318,17.703036,13719.88
2000-07-25,2.12779,1272605,0.6306,17.62527,13875.62
2000-07-26,2.09695,3246522,0.6301,17.523081,13698.67
2000-07-27,2.06611,4425352,0.6315,17.69463,13713.5
2000-07-28,2.06611,816253,0.6356,17.911208,14130.21
2000-07-31,2.06611,2414747,0.6352,17.423536,13870.23
2000-08-01,2.06611,0,0.6365,17.688335,14100.26
2000-08-02,2.09695,1052077,0.6399,18.083574,14104.49
2000-08-03,2.06611,1291157,0.642,18.39972,14036.77
2000-08-04,2.06611,4067030,0.6423,19.243308,13789
2000-08-07,2.00444,2192491,0.6423,18.568893,13464.74
2000-08-08,1.9736,2732844,0.6446,18.770752,13233.08
2000-08-09,1.9736,1224307,0.6455,19.590925,12903.7
2000-08-10,1.91193,4627605,0.6435,20.16729,12945.09
2000-08-11,1.91193,0,0.6456,20.026512,13304
2000-08-14,2.03528,2413250,0.6448,20.594912,13586.09
2000-08-15,2.03528,0,0.6431,20.366977,12990.07
2000-08-16,1.9736,890407,0.6429,20.44422,12972.84
2000-08-17,1.94276,310389,0.6431,20.540614,12961.42
2000-08-18,2.00444,13740801,0.6465,20.681535,13196.91
2000-08-21,2.00444,4732723,0.6483,21.050301,12776.02
2000-08-22,1.91193,7748258,0.6501,20.296122,12711.87
2000-08-23,1.91193,0,0.6496,20.800192,13185.83
2000-08-24,2.03528,708969,0.6487,20.518381,13158.73
2000-08-25,2.00444,827923,0.6493,20.797079,13051.52
2000-08-28,1.9736,4035987,0.6503,21.375361,12960.69
2000-08-29,1.9736,0,0.6529,21.375946,13308.02
2000-08-30,1.9736,0,0.6521,21.727972,13308.02
2000-08-31,1.9736,2080698,0.6551,21.696912,13132.06
2000-09-01,1.94276,1115135,0.653,21.79714,13070.15
2000-09-04,1.9736,1547485,0.6528,21.790464,13192.7
2000-09-05,1.9736,0,0.6563,22.202629,13167.63
2000-09-06,1.94276,318107,0.6596,23.02004,13039.63
2000-09-07,1.91193,3863803,0.6614,23.406946,12297.44
2000-09-08,1.81941,3217085,0.6641,22.333683,12172.45
2000-09-11,1.75774,1366728,0.6668,23.431352,11562.8
2000-09-12,1.7269,4667243,0.6662,22.837336,11630.88
2000-09-13,1.78858,3123276,0.666,22.52412,11769.59
