"Date","Price","Open","High","Low","Change %"
"Nov 25, 2019","5.7416","5.7246","5.7611","5.7034","0.50%"
"Nov 22, 2019","5.7132","5.6890","5.7235","5.6840","0.29%"
"Nov 21, 2019","5.6966","5.7027","5.7138","5.6830","-0.05%"
"Nov 20, 2019","5.6997","5.7021","5.7283","5.6856","0.01%"
"Nov 19, 2019","5.6990","5.7299","5.7422","5.6900","-0.66%"
"Nov 18, 2019","5.7369","5.7465","5.7566","5.7171","-0.15%"
"Nov 15, 2019","5.7453","5.7451","5.7702","5.7330","-0.04%"
"Nov 14, 2019","5.7477","5.7421","5.7820","5.7351","0.13%"
"Nov 13, 2019","5.7403","5.7746","5.7818","5.7280","-0.65%"
"Nov 12, 2019","5.7776","5.7702","5.7823","5.7565","0.07%"
"Nov 11, 2019","5.7733","5.7711","5.7987","5.7598","0.11%"
"Nov 08, 2019","5.7668","5.7515","5.7712","5.7330","0.25%"
"Nov 07, 2019","5.7522","5.7521","5.7676","5.7306","0.02%"
"Nov 06, 2019","5.7508","5.7545","5.7752","5.7419","-0.04%"
"Nov 05, 2019","5.7533","5.7382","5.7669","5.7145","0.25%"
"Nov 04, 2019","5.7387","5.7065","5.7413","5.6750","0.46%"
"Nov 01, 2019","5.7124","5.7251","5.7525","5.7042","-0.01%"
"Oct 31, 2019","5.7130","5.7072","5.7321","5.6974","0.19%"
"Oct 30, 2019","5.7020","5.7348","5.7704","5.6925","-0.62%"
"Oct 29, 2019","5.7373","5.7332","5.7562","5.7145","0.11%"
"Oct 28, 2019","5.7312","5.7767","5.7785","5.7140","-0.75%"
"Oct 25, 2019","5.7748","5.7625","5.7917","5.7475","0.18%"
"Oct 24, 2019","5.7647","5.7345","5.7812","5.7252","0.52%"
"Oct 23, 2019","5.7351","5.8088","5.8134","5.7240","-1.26%"
"Oct 22, 2019","5.8084","5.8584","5.8652","5.7835","-0.85%"
"Oct 21, 2019","5.8582","5.7947","5.8697","5.7778","1.14%"
"Oct 18, 2019","5.7919","5.8287","5.8325","5.7435","-0.65%"
"Oct 17, 2019","5.8299","5.8871","5.9315","5.8132","-0.97%"
"Oct 16, 2019","5.8870","5.9131","5.9321","5.8680","-0.50%"
"Oct 15, 2019","5.9165","5.9348","5.9414","5.8601","-0.18%"
"Oct 14, 2019","5.9271","5.8852","5.9383","5.8851","0.71%"
"Oct 11, 2019","5.8853","5.8347","5.8989","5.8055","0.84%"
"Oct 10, 2019","5.8365","5.8715","5.9021","5.8178","-0.59%"
"Oct 09, 2019","5.8712","5.8308","5.8787","5.8113","0.69%"
"Oct 08, 2019","5.8311","5.8336","5.8517","5.7770","-0.03%"
"Oct 07, 2019","5.8328","5.7046","5.8452","5.6940","2.40%"
"Oct 04, 2019","5.6962","5.6926","5.7127","5.6700","0.03%"
"Oct 03, 2019","5.6947","5.7024","5.7176","5.6650","-0.13%"
"Oct 02, 2019","5.7020","5.7272","5.7641","5.6963","-0.37%"
"Oct 01, 2019","5.7231","5.6459","5.7324","5.6370","1.31%"
"Sep 30, 2019","5.6489","5.6708","5.6772","5.6280","-0.39%"
"Sep 27, 2019","5.6708","5.6653","5.6894","5.6415","0.09%"
"Sep 26, 2019","5.6655","5.6706","5.6988","5.6418","-0.09%"
"Sep 25, 2019","5.6706","5.6993","5.7134","5.6655","-0.47%"
"Sep 24, 2019","5.6973","5.7158","5.7221","5.6620","-0.35%"
"Sep 23, 2019","5.7174","5.7430","5.7453","5.7065","-0.46%"
"Sep 20, 2019","5.7439","5.7150","5.7494","5.6750","0.44%"
"Sep 19, 2019","5.7187","5.6799","5.7252","5.6678","0.74%"
"Sep 18, 2019","5.6768","5.7052","5.7116","5.6528","-0.43%"
"Sep 17, 2019","5.7016","5.7293","5.7451","5.6890","-0.48%"
"Sep 16, 2019","5.7290","5.6893","5.7461","5.6891","0.75%"
"Sep 13, 2019","5.6861","5.6556","5.6935","5.6440","0.52%"
"Sep 12, 2019","5.6566","5.7560","5.7763","5.6555","-1.65%"
"Sep 11, 2019","5.7515","5.7703","5.7972","5.7428","-0.29%"
"Sep 10, 2019","5.7683","5.7516","5.7915","5.7397","0.32%"
"Sep 09, 2019","5.7500","5.7137","5.7660","5.6940","0.60%"
"Sep 06, 2019","5.7155","5.6916","5.7295","5.6750","0.42%"
"Sep 05, 2019","5.6917","5.6711","5.7068","5.6452","0.44%"
"Sep 04, 2019","5.6670","5.7284","5.7347","5.6400","-1.09%"
"Sep 03, 2019","5.7293","5.8074","5.8232","5.7165","-1.33%"
"Sep 02, 2019","5.8068","5.8330","5.8419","5.7904","-0.41%"
"Aug 30, 2019","5.8306","5.8390","5.8514","5.8134","-0.16%"
"Aug 29, 2019","5.8400","5.8120","5.8481","5.7955","0.46%"
"Aug 28, 2019","5.8134","5.8307","5.8403","5.7873","-0.24%"
"Aug 27, 2019","5.8275","5.8296","5.8635","5.7947","0.04%"
"Aug 26, 2019","5.8252","5.7653","5.8423","5.7647","1.13%"
"Aug 23, 2019","5.7599","5.7689","5.7774","5.7260","-0.15%"
"Aug 22, 2019","5.7688","5.7175","5.7899","5.7050","0.92%"
"Aug 21, 2019","5.7162","5.7358","5.7446","5.7008","-0.22%"
"Aug 20, 2019","5.7290","5.6622","5.7500","5.6345","1.20%"
"Aug 19, 2019","5.6609","5.5864","5.6805","5.5611","1.48%"
"Aug 16, 2019","5.5785","5.5680","5.5867","5.5205","0.19%"
"Aug 15, 2019","5.5680","5.6143","5.6188","5.5388","-0.80%"
"Aug 14, 2019","5.6128","5.5611","5.6310","5.5557","0.90%"
"Aug 13, 2019","5.5629","5.5674","5.6383","5.5489","-0.02%"
"Aug 12, 2019","5.5640","5.4951","5.5777","5.4898","1.32%"
"Aug 09, 2019","5.4917","5.4760","5.5138","5.4460","0.25%"
"Aug 08, 2019","5.4782","5.5000","5.5217","5.4501","-0.28%"
"Aug 07, 2019","5.4938","5.5202","5.5356","5.4538","-0.49%"
"Aug 06, 2019","5.5209","5.5656","5.5953","5.5062","-0.91%"
"Aug 05, 2019","5.5715","5.5600","5.6185","5.5240","0.21%"
"Aug 02, 2019","5.5597","5.6029","5.6188","5.5418","-0.79%"
"Aug 01, 2019","5.6039","5.5812","5.6295","5.5496","0.31%"
"Jul 31, 2019","5.5864","5.5559","5.6211","5.5040","0.48%"
"Jul 30, 2019","5.5597","5.6163","5.6249","5.5424","-0.98%"
"Jul 29, 2019","5.6148","5.6758","5.6758","5.5935","-1.00%"
"Jul 26, 2019","5.6718","5.7025","5.7064","5.6000","-0.54%"
"Jul 25, 2019","5.7027","5.7086","5.7680","5.6395","-0.10%"
"Jul 24, 2019","5.7085","5.7209","5.7394","5.6944","-0.16%"
"Jul 23, 2019","5.7178","5.6795","5.7252","5.6610","0.72%"
"Jul 22, 2019","5.6770","5.6403","5.6947","5.6316","0.39%"
"Jul 19, 2019","5.6551","5.6176","5.6776","5.6080","0.66%"
"Jul 18, 2019","5.6181","5.6859","5.7133","5.6128","-1.16%"
"Jul 17, 2019","5.6842","5.7134","5.7208","5.6656","-0.48%"
"Jul 16, 2019","5.7118","5.7125","5.7239","5.6845","-0.05%"
"Jul 15, 2019","5.7148","5.7220","5.7355","5.6968","-0.09%"
"Jul 12, 2019","5.7200","5.6831","5.7883","5.6604","0.82%"
"Jul 11, 2019","5.6734","5.6762","5.6935","5.6456","-0.01%"
"Jul 10, 2019","5.6741","5.7294","5.7599","5.6658","-1.01%"
"Jul 09, 2019","5.7322","5.7392","5.7485","5.6765","-0.08%"
"Jul 08, 2019","5.7367","5.6295","5.7940","5.6294","1.92%"
"Jul 05, 2019","5.6288","5.5952","5.6452","5.5805","0.60%"
"Jul 04, 2019","5.5953","5.6243","5.6272","5.5725","-0.53%"
"Jul 03, 2019","5.6249","5.6631","5.6723","5.6002","-0.49%"
"Jul 02, 2019","5.6528","5.6534","5.7037","5.6193","0.04%"
"Jul 01, 2019","5.6507","5.7986","5.7986","5.6196","-2.44%"
"Jun 28, 2019","5.7921","5.7761","5.8029","5.7388","0.34%"
"Jun 27, 2019","5.7725","5.7770","5.7949","5.7517","-0.04%"
"Jun 26, 2019","5.7749","5.7930","5.8187","5.7440","-0.35%"
"Jun 25, 2019","5.7949","5.8089","5.8303","5.7450","-0.24%"
"Jun 24, 2019","5.8090","5.8213","5.8302","5.6975","-0.21%"
"Jun 21, 2019","5.8214","5.7609","5.8384","5.7459","0.99%"
"Jun 20, 2019","5.7644","5.7946","5.8293","5.7223","-0.47%"
"Jun 19, 2019","5.7914","5.8350","5.9234","5.7876","-0.63%"
"Jun 18, 2019","5.8284","5.8746","5.8835","5.8126","-0.76%"
"Jun 17, 2019","5.8733","5.9026","5.9306","5.8476","-0.48%"
"Jun 14, 2019","5.9015","5.8647","5.9329","5.8450","0.57%"
"Jun 13, 2019","5.8682","5.8094","5.9055","5.8041","1.04%"
"Jun 12, 2019","5.8080","5.7967","5.8290","5.7570","0.18%"
"Jun 11, 2019","5.7976","5.7807","5.8423","5.7455","0.40%"
"Jun 10, 2019","5.7747","5.8324","5.8592","5.7510","-0.97%"
"Jun 07, 2019","5.8310","5.7768","5.8690","5.7720","0.88%"
"Jun 06, 2019","5.7801","5.7303","5.8088","5.7139","0.86%"
"Jun 05, 2019","5.7310","5.7827","5.7882","5.6641","-0.89%"
"Jun 04, 2019","5.7824","5.8380","5.8685","5.7520","-0.88%"
"Jun 03, 2019","5.8339","5.8435","5.8968","5.8196","-0.07%"
"May 31, 2019","5.8382","5.8793","5.9225","5.8090","-0.66%"
"May 30, 2019","5.8772","6.0098","6.0283","5.8496","-2.24%"
"May 29, 2019","6.0121","6.0304","6.0579","5.9901","-0.33%"
"May 28, 2019","6.0319","6.0646","6.0850","5.9811","-0.51%"
"May 27, 2019","6.0629","6.0903","6.1070","6.0270","-0.32%"
"May 24, 2019","6.0825","6.0963","6.1290","6.0370","-0.23%"
"May 23, 2019","6.0964","6.0956","6.1520","6.0845","-0.06%"
"May 22, 2019","6.1002","6.0606","6.1300","6.0518","0.79%"
"May 21, 2019","6.0525","6.0287","6.0820","6.0060","0.42%"
"May 20, 2019","6.0272","6.0631","6.0881","5.9983","-0.46%"
"May 17, 2019","6.0550","6.0425","6.0953","6.0180","0.15%"
"May 16, 2019","6.0457","6.0042","6.0553","5.9893","0.75%"
"May 15, 2019","6.0007","6.0335","6.0891","5.9898","-0.50%"
"May 14, 2019","6.0306","6.0607","6.1162","5.9787","-0.48%"
"May 13, 2019","6.0594","6.0064","6.1346","5.9572","1.24%"
"May 10, 2019","5.9851","6.1988","6.2126","5.9600","-3.35%"
"May 09, 2019","6.1926","6.1810","6.2465","6.1509","0.11%"
"May 08, 2019","6.1860","6.1484","6.1997","6.1375","0.57%"
"May 07, 2019","6.1511","6.0780","6.1979","6.0714","1.16%"
"May 06, 2019","6.0803","5.9664","6.1496","5.9663","1.94%"
"May 03, 2019","5.9648","5.9736","5.9932","5.9577","0.01%"
"May 02, 2019","5.9645","5.9671","5.9829","5.9425","-0.03%"
"May 01, 2019","5.9665","5.9675","5.9699","5.9351","0.02%"
"Apr 30, 2019","5.9656","5.9488","5.9875","5.9259","0.29%"
"Apr 29, 2019","5.9483","5.9343","5.9629","5.9130","0.17%"
"Apr 26, 2019","5.9382","5.9276","5.9696","5.9070","0.19%"
"Apr 25, 2019","5.9268","5.8750","5.9811","5.8624","0.88%"
"Apr 24, 2019","5.8753","5.8297","5.8954","5.8224","0.80%"
"Apr 23, 2019","5.8287","5.8273","5.8534","5.8075","0.03%"
"Apr 22, 2019","5.8272","5.8112","5.8570","5.8040","0.28%"
"Apr 19, 2019","5.8112","5.8001","5.8352","5.7685","0.16%"
"Apr 18, 2019","5.8018","5.7451","5.8543","5.7409","1.10%"
"Apr 17, 2019","5.7387","5.7709","5.7966","5.6920","-0.55%"
"Apr 16, 2019","5.7703","5.8073","5.8323","5.7382","-0.58%"
"Apr 15, 2019","5.8041","5.7676","5.8243","5.7613","0.60%"
"Apr 12, 2019","5.7693","5.7363","5.8235","5.7000","0.53%"
"Apr 11, 2019","5.7388","5.6829","5.7600","5.6626","1.00%"
"Apr 10, 2019","5.6818","5.6916","5.7207","5.6565","-0.22%"
"Apr 09, 2019","5.6943","5.6897","5.7062","5.6307","0.07%"
"Apr 08, 2019","5.6903","5.6261","5.7290","5.6111","1.14%"
"Apr 05, 2019","5.6262","5.5890","5.6505","5.5505","0.60%"
"Apr 04, 2019","5.5925","5.6265","5.6645","5.5414","-0.60%"
"Apr 03, 2019","5.6260","5.6069","5.6566","5.5634","0.37%"
"Apr 02, 2019","5.6050","5.4865","5.6792","5.4755","2.16%"
