"Date","Close","Volume","USD_TRY","CrudeOil","BIST100"
2000-05-10,0.81986,374931,0.6143,17.26183,17777.13
2000-05-11,0.77817,283899,0.6169,17.957959,17896.7
2000-05-12,0.83375,3983235,0.616,18.24592,17557.46
2000-05-15,0.77817,589341,0.6149,18.397808,17013.03
2000-05-16,0.75038,617938,0.6181,18.376113,17492.53
2000-05-17,0.70869,461996,0.6217,18.228244,16925.31
2000-05-18,0.6809,337457,0.6229,18.892557,16449.27
2000-05-19,0.6809,0,0.6233,18.630437,16449.27
2000-05-22,0.67395,915330,0.62,17.7382,16241.29
2000-05-23,0.67395,915330,0.6198,17.837844,15583.92
2000-05-24,0.67395,0,0.6201,18.559593,15819.8
2000-05-25,0.67395,0,0.6196,18.903996,16329.19
2000-05-26,0.5211,216964,0.617,18.51,15922.27
2000-05-29,0.5211,0,0.6159,18.477,15884.12
2000-05-30,0.5211,0,0.6145,18.650075,15769.47
2000-05-31,0.5211,0,0.6157,17.861457,16206.42
2000-06-01,0.5211,0,0.6157,18.557198,16770.16
2000-06-02,0.5072,5051929,0.6135,18.619725,16520.05
2000-06-05,0.5072,0,0.613,18.2061,16629.05
2000-06-06,0.51415,234899,0.6109,18.174275,16719.5
2000-06-07,0.51415,0,0.61,18.2695,16192.37
2000-06-08,0.51415,0,0.612,18.22536,16662.95
2000-06-09,0.52804,527375,0.6133,18.52166,16461.32
2000-06-12,0.51415,204329,0.6137,19.478838,15902.91
2000-06-13,0.51415,906641,0.6121,19.929976,15613.66
2000-06-14,0.51415,6376219,0.6124,20.11734,15183.92
2000-06-15,0.48636,2350383,0.6146,20.25107,14966.02
2000-06-16,0.46551,475208,0.6125,19.802125,14351.4
2000-06-19,0.45856,250835,0.6146,19.476674,14543.9
2000-06-20,0.47246,183904,0.6154,20.33897,14748.22
2000-06-21,0.47246,26027,0.6189,19.414893,14659.26
2000-06-22,0.47246,227170,0.6214,20.002866,14885.15
2000-06-23,0.47941,292029,0.6229,20.088525,14930.88
2000-06-26,0.46551,52862,0.6226,19.692838,14632.86
2000-06-27,0.45162,252701,0.6211,19.912466,14663.49
2000-06-28,0.46551,243498,0.6219,19.83861,14790.18
2000-06-29,0.46551,111885,0.6203,20.296216,14404.95
2000-06-30,0.45162,125754,0.6204,20.163,14466.12
2000-07-03,0.46551,254840,0.6214,20.1955,14348.44
2000-07-04,0.47246,171647,0.6213,20.19225,14200.89
2000-07-05,0.45856,175250,0.6208,19.039936,14638.28
