"Date","Close","Volume","USD_TRY","CrudeOil","BIST100"
2000-05-10,9.49208,75212,0.6143,17.26183,17777.13
2000-05-11,9.37193,13425,0.6169,17.957959,17896.7
2000-05-12,9.37193,14839,0.616,18.24592,17557.46
2000-05-15,9.13163,7024,0.6149,18.397808,17013.03
2000-05-16,9.01147,12434,0.6181,18.376113,17492.53
2000-05-17,8.77117,19941,0.6217,18.228244,16925.31
2000-05-18,8.41071,15405,0.6229,18.892557,16449.27
2000-05-19,8.41071,0,0.6233,18.630437,16449.27
2000-05-22,8.05025,13216,0.62,17.7382,16241.29
2000-05-23,8.05025,13216,0.6198,17.837844,15583.92
2000-05-24,8.05025,0,0.6201,18.559593,15819.8
2000-05-25,8.05025,0,0.6196,18.903996,16329.19
2000-05-26,8.65101,5643,0.617,18.51,15922.27
2000-05-29,8.65101,0,0.6159,18.477,15884.12
2000-05-30,8.65101,0,0.6145,18.650075,15769.47
2000-05-31,8.65101,0,0.6157,17.861457,16206.42
2000-06-01,8.65101,0,0.6157,18.557198,16770.16
2000-06-02,8.05025,28389,0.6135,18.619725,16520.05
2000-06-05,8.05025,0,0.613,18.2061,16629.05
2000-06-06,8.65101,371293,0.6109,18.174275,16719.5
2000-06-07,8.65101,0,0.61,18.2695,16192.37
2000-06-08,8.65101,0,0.612,18.22536,16662.95
2000-06-09,8.65101,55371,0.6133,18.52166,16461.32
2000-06-12,8.41071,12759,0.6137,19.478838,15902.91
2000-06-13,8.1704,16204,0.6121,19.929976,15613.66
2000-06-14,8.1704,49029,0.6124,20.11734,15183.92
2000-06-15,7.9301,22688,0.6146,20.25107,14966.02
2000-06-16,7.56964,26375,0.6125,19.802125,14351.4
2000-06-19,7.56964,21056,0.6146,19.476674,14543.9
2000-06-20,7.56964,19317,0.6154,20.33897,14748.22
2000-06-21,7.68979,10403,0.6189,19.414893,14659.26
2000-06-22,7.68979,7407,0.6214,20.002866,14885.15
2000-06-23,7.68979,13225,0.6229,20.088525,14930.88
2000-06-26,7.56964,5651,0.6226,19.692838,14632.86
2000-06-27,7.32933,7008,0.6211,19.912466,14663.49
2000-06-28,7.44948,56661,0.6219,19.83861,14790.18
2000-06-29,7.56964,15638,0.6203,20.296216,14404.95
2000-06-30,7.44948,6317,0.6204,20.163,14466.12
2000-07-03,7.44948,5094,0.6214,20.1955,14348.44
2000-07-04,7.20918,6608,0.6213,20.19225,14200.89
2000-07-05,7.32933,9671,0.6208,19.039936,14638.28
2000-07-06,7.44948,5035,0.6215,18.638785,14180.32
2000-07-07,7.32933,89652,0.624,18.89472,14343.87
2000-07-10,7.20918,4303,0.6222,18.473118,14868.62
2000-07-11,7.20918,17378,0.6231,18.50607,14061.19
2000-07-12,7.08902,4220,0.6248,18.943936,13857.72
2000-07-13,7.08902,9788,0.6276,19.750572,13394.1
2000-07-14,6.84872,1049,0.6283,19.72862,13521.81
2000-07-17,6.72857,4153,0.629,19.39207,12801.78
2000-07-18,6.60841,2347,0.6308,20.147752,12736.96
2000-07-19,6.60841,2347,0.6331,19.892002,13238.66
2000-07-20,6.72857,6966,0.6326,19.566318,12923.43
2000-07-21,6.84872,4619,0.6302,17.998512,13601.46
2000-07-24,7.08902,5293,0.6318,17.703036,13719.88
2000-07-25,7.20918,6517,0.6306,17.62527,13875.62
2000-07-26,7.08902,7915,0.6301,17.523081,13698.67
2000-07-27,7.08902,7965,0.6315,17.69463,13713.5
2000-07-28,7.08902,2672,0.6356,17.911208,14130.21
2000-07-31,7.32933,42854,0.6352,17.423536,13870.23
2000-08-01,7.32933,0,0.6365,17.688335,14100.26
2000-08-02,7.44948,9521,0.6399,18.083574,14104.49
2000-08-03,7.08902,10553,0.642,18.39972,14036.77
2000-08-04,7.08902,7898,0.6423,19.243308,13789
2000-08-07,6.72857,4836,0.6423,18.568893,13464.74
2000-08-08,6.60841,4028,0.6446,18.770752,13233.08
2000-08-09,6.72857,2380,0.6455,19.590925,12903.7
2000-08-10,6.48826,4261,0.6435,20.16729,12945.09
2000-08-11,6.48826,0,0.6456,20.026512,13304
2000-08-14,6.84872,32392,0.6448,20.594912,13586.09
2000-08-15,6.84872,0,0.6431,20.366977,12990.07
2000-08-16,6.60841,2647,0.6429,20.44422,12972.84
2000-08-17,6.48826,3396,0.6431,20.540614,12961.42
2000-08-18,6.60841,32434,0.6465,20.681535,13196.91
2000-08-21,6.48826,8040,0.6483,21.050301,12776.02
2000-08-22,6.24795,8922,0.6501,20.296122,12711.87
2000-08-23,6.24795,0,0.6496,20.800192,13185.83
2000-08-24,6.60841,46091,0.6487,20.518381,13158.73
2000-08-25,6.36811,13683,0.6493,20.797079,13051.52
2000-08-28,6.48826,2222,0.6503,21.375361,12960.69
2000-08-29,6.48826,0,0.6529,21.375946,13308.02
2000-08-30,6.48826,0,0.6521,21.727972,13308.02
2000-08-31,6.48826,55587,0.6551,21.696912,13132.06
2000-09-01,6.48826,4752,0.653,21.79714,13070.15
2000-09-04,6.36811,11910,0.6528,21.790464,13192.7
2000-09-05,6.36811,0,0.6563,22.202629,13167.63
2000-09-06,6.60841,155901,0.6596,23.02004,13039.63
2000-09-07,7.20918,301308,0.6614,23.406946,12297.44
2000-09-08,6.84872,105707,0.6641,22.333683,12172.45
2000-09-11,6.48826,59349,0.6668,23.431352,11562.8
2000-09-12,6.00765,50852,0.6662,22.837336,11630.88
2000-09-13,6.30803,62429,0.666,22.52412,11769.59
2000-09-14,6.24795,15272,0.6662,22.697434,11498.92
2000-09-15,5.8875,12143,0.6676,23.980192,11466.21
2000-09-18,5.8875,0,0.6705,24.72804,10862.21
2000-09-19,5.8875,0,0.6715,24.516465,10378.43
2000-09-20,5.76734,66232,0.673,25.0356,11190.7
2000-09-21,5.76734,0,0.6707,22.8038,11320.78
2000-09-22,5.76734,0,0.6634,21.679912,11110.27
2000-09-25,5.76734,0,0.6666,21.044562,11514.87
2000-09-26,5.76734,0,0.6644,20.9286,11360.45
2000-09-27,5.76734,0,0.6642,20.895732,11294.62
2000-09-28,5.82742,105557,0.6649,20.173066,11293.28
2000-09-29,6.30803,501103,0.6646,20.496264,11350.3
2000-10-02,6.60841,466172,0.6666,21.451188,11411.53
2000-10-03,6.60841,0,0.6685,21.438795,11567.43
2000-10-04,6.36811,477092,0.6684,21.007812,11694.39
2000-10-05,6.36811,0,0.6702,20.461206,11744.98
2000-10-06,6.36811,0,0.6716,20.725576,12460.18
2000-10-09,6.36811,0,0.671,21.37806,12070.97
2000-10-10,5.8875,37094,0.6713,22.273734,13009.39
2000-10-11,6.18788,163200,0.6709,22.307425,12874.09
2000-10-12,6.18788,0,0.6737,24.293622,13145.09
2000-10-13,6.18788,0,0.6759,23.649741,13015.35
2000-10-16,6.18788,0,0.6788,22.346096,13900.56
2000-10-17,6.36811,61014,0.6781,22.370519,13764.46
2000-10-18,6.48826,109918,0.6803,22.776444,13521.96
2000-10-19,6.24795,59433,0.6813,22.421583,13534.53
2000-10-20,6.48826,58051,0.6824,23.031,13581.38
2000-10-23,6.48826,0,0.6846,23.112096,13205.36
2000-10-24,6.00765,20282,0.6846,22.845102,13603.09
2000-10-25,6.24795,57460,0.6879,22.673184,13361.1
2000-10-26,6.24795,59433,0.6876,23.178996,13354.29
2000-10-27,6.24795,0,0.6849,22.423626,13227.84
2000-10-30,6.1278,25068,0.6841,22.445321,13347.24
2000-10-31,6.1278,0,0.6823,22.31121,13538.44
2000-11-01,6.24795,36612,0.6783,22.553475,14079.07
2000-11-02,6.24795,0,0.6792,22.101168,14516.18
2000-11-03,7.56964,229041,0.6776,22.164296,14802.95
2000-11-06,8.53086,806713,0.6801,22.348086,14369.45
2000-11-07,8.41071,724726,0.6805,22.7287,14215.33
2000-11-08,6.24795,82037,0.6825,22.6863,13581.34
2000-11-09,8.05025,127887,0.6796,23.052032,13740.15
2000-11-10,9.37193,110492,0.6811,23.171022,13801.05
2000-11-13,8.77117,109577,0.6819,23.505093,13269.38
2000-11-14,8.65101,525663,0.6827,23.805749,13299.1
2000-11-15,8.53086,66407,0.683,24.30114,13526.5
2000-11-16,8.53086,34573,0.6847,24.046664,13183.07
2000-11-17,8.29055,49054,0.6865,24.336425,12831.55
2000-11-20,8.05025,282931,0.6871,24.199662,11916.85
2000-11-21,8.05025,0,0.6893,24.235788,11313.97
2000-11-22,7.08902,388388,0.69,24.426,11554.45
2000-11-23,6.84872,217606,0.6905,24.4437,11186.85
2000-11-24,6.36811,27748,0.6923,24.50742,10808.54
2000-11-27,6.1278,60123,0.6882,24.348516,10596.5
2000-11-28,5.40688,68296,0.6869,23.505718,9641.68
2000-11-29,4.38558,551614,0.6865,23.773495,9512.51
2000-11-30,5.16658,103302,0.6827,23.088914,8747.68
2000-12-01,4.80612,61788,0.6817,21.828034,7977.83
2000-12-04,4.38558,32542,0.6769,21.132818,7329.61
2000-12-05,4.92627,47231,0.68,20.0804,8755.29
2000-12-06,5.82742,2472,0.6774,20.22039,10387.38
2000-12-07,6.1278,69694,0.6782,19.90517,9364.17
2000-12-08,5.1065,45226,0.68,19.3392,9799.48
2000-12-11,5.34681,33324,0.6824,20.1308,9753.63
2000-12-12,4.98635,13308,0.682,20.24176,9626.87
2000-12-13,4.44566,22488,0.6835,19.64379,9010.5
2000-12-14,4.56581,21348,0.6794,19.016406,9500.43
2000-12-15,5.1065,45226,0.6781,19.576747,9422.71
2000-12-18,4.56581,13208,0.6793,20.215968,9172.94
2000-12-19,4.74604,6958,0.6794,19.926802,9346.52
2000-12-20,4.44566,22488,0.6759,17.417943,9185.45
2000-12-21,4.80612,7848,0.6738,17.505324,9200.59
2000-12-22,4.98635,6991,0.6713,17.574634,9437.21
2000-12-25,4.56581,13208,0.6729,17.616522,9437.21
2001-01-02,4.98635,1989,0.6651,18.097371,9467.07
2001-01-03,5.04642,8589,0.667,18.676,9137.44
2001-01-04,5.22665,16021,0.6654,18.724356,10198.15
2001-01-05,5.16658,6200,0.664,18.5588,10007.3
2001-01-08,5.16658,9563,0.666,18.19512,10560.43
2001-01-09,5.40688,53449,0.6682,18.469048,10861.04
2001-01-10,5.40688,27486,0.6698,19.745704,11539.99
2001-01-11,5.82742,116768,0.6659,19.584119,11264.89
2001-01-12,5.8875,150941,0.6669,20.040345,10964.89
2001-01-15,5.46696,17078,0.6698,20.12749,10425.63
2001-01-16,5.22665,14748,0.6704,20.306416,10505.11
2001-01-17,5.40688,20923,0.6729,19.91784,10944.75
2001-01-19,5.52704,40124,0.6736,21.683184,11400.7
2001-01-22,5.58711,25135,0.6726,21.650994,11093.73
2001-01-23,5.46696,37028,0.6727,19.891739,10882.97
2001-01-25,5.46696,7124,0.6777,19.897272,10980.43
2001-01-26,5.52704,3063,0.6781,20.187037,10742.79
2001-01-29,5.22665,5344,0.6806,19.778236,10607.66
2001-01-30,5.22665,6974,0.6777,19.693962,10421.07
2001-01-31,5.28673,2230,0.6752,19.351232,10685.07
2001-02-01,5.28673,6925,0.6728,20.062896,10638.23
2001-02-02,5.22665,5917,0.6756,21.071964,10546.66
2001-02-05,4.98635,4161,0.675,20.62125,9952.59
2001-02-06,4.74604,8389,0.6778,20.57123,10187.21
2001-02-08,4.74604,7241,0.6822,21.550698,9658.9
2001-02-09,4.50574,5518,0.6805,21.115915,9545.86
2001-02-12,4.38558,5252,0.6799,20.743749,9075.33
2001-02-13,4.32551,7940,0.6827,20.726772,9385.06
2001-02-14,4.56581,17869,0.6831,20.294901,9971.69
2001-02-15,4.68597,113389,0.6883,19.82304,9763.9
2001-02-22,3.90497,11976,1.05,30.261,7890.4
2001-02-28,3.78482,69403,0.955,26.15745,8791.6
2001-03-01,3.78482,7232,1.01,27.8962,9406.65
2001-03-02,4.02512,34414,0.92,25.6128,9513.77
2001-03-09,4.02512,34414,0.8935,25.026935,9513.77
2001-03-12,4.02512,9313,0.92,25.76,8647.01
2001-03-14,3.60459,5393,0.9815,25.921415,8150.78
2001-03-15,3.54451,4353,1.025,27.21375,8525.4
2001-03-16,3.84489,16529,0.995,26.6063,8763.42
2001-03-19,3.78482,7607,0.999,26.12385,8522.41
2001-03-20,3.90497,14232,0.975,25.311,8860.57
2001-03-21,3.96505,12234,0.9746,26.11928,8629.21
2001-03-22,3.66467,3362,0.98,26.0092,8402.85
2001-03-26,3.66467,3837,0.98,26.9304,8331.29
2001-03-27,3.54451,6608,0.996,27.639,7959.69
2001-03-28,3.24413,6342,1.003,26.38893,7614.78
2001-03-29,3.36428,6408,1.05,27.636,7159.66
2001-03-30,3.48444,4577,1.045,27.47305,8022.72
2001-04-02,3.60459,7832,1.114,28.50726,7855.67
2001-04-03,3.54451,9471,1.215,31.82085,7806.12
2001-04-04,3.42436,5268,1.245,33.7644,8117.75
2001-04-06,3.72474,11078,1.2005,32.48553,8236.8
2001-04-10,3.78482,15106,1.275,36.312,8312.17
2001-04-11,3.72474,11169,1.28,36.0704,8657.84
2001-04-12,3.90497,95262,1.273,35.96225,9026.32
2001-04-13,3.96505,18784,1.14,32.205,8940.25
2001-04-16,4.0852,52833,1.17,33.6843,9378.99
2001-04-17,4.02512,14003,1.225,34.594,9057.84
2001-04-18,4.02512,35014,1.2475,34.867625,9069.85
2001-04-19,4.14528,42721,1.226,34.10732,9448.61
2001-04-20,4.20535,16204,1.2405,33.84084,9658.35
2001-04-24,4.50574,54805,1.2325,33.10495,10131.1
2001-04-25,4.50574,31235,1.215,33.15735,10113.01
2001-04-26,4.50574,31235,1.23,34.9812,10890.07
2001-04-27,5.1065,113971,1.12,31.6624,12363.01
2001-04-30,4.98635,41647,1.1455,32.60093,12367.36
2001-05-02,4.50574,11069,1.165,32.387,12008.54
2001-05-03,4.62589,33258,1.172,33.3434,12829.84
2001-05-04,5.40688,21822,1.135,32.1886,12529.69
2001-05-07,5.8875,109577,1.14,31.6578,12203.45
2001-05-10,6.30803,105307,1.145,32.6554,12143.29
2001-05-11,6.48826,66332,1.152,32.8896,11779.31
2001-05-14,6.84872,66024,1.155,33.16005,11896.35
2001-05-15,6.84872,20973,1.145,33.1821,11572.45
2001-05-16,6.72857,54813,1.1235,32.42421,12298.73
2001-05-17,6.96887,64842,1.108,32.03228,12373.47
2001-05-21,7.68979,118940,1.1225,33.65255,12607.24
2001-05-22,7.9301,29297,1.111,33.04114,12643.75
2001-05-23,7.44948,29870,1.12,33.1296,12052.38
2001-05-28,6.84872,9521,1.115,32.9817,11230.62
2001-05-31,5.28673,22937,1.17,33.1929,10879.83
2001-06-01,6.06772,64609,1.15,32.1195,11270.98
2001-06-04,6.30803,40548,1.15,32.3495,11760.99
2001-06-05,6.24795,23944,1.165,32.8996,11296.73
2001-06-07,6.24795,11219,1.16,32.19,12006.3
2001-06-08,3.00382,59000,1.16,32.8628,12138.26
2001-06-11,2.88367,13591,1.1875,34.485,11635.96
2001-06-12,2.70344,17544,1.189,34.69502,11429.4
2001-06-13,2.85363,77227,1.2425,35.8337,11284.4
